uuid,started_at,ended_at,description
fbb68e32-84a3-47e0-8f1f-14149a0468e8,2019-12-05T06:23:00+08:00,2019-12-05T06:28:00+08:00,#时间管理 '日·计划' |2019/12/05
31ab51f3-8b49-49f5-8a52-125896a199c5,2019-12-05T06:37:00+08:00,2019-12-05T06:38:00+08:00,#生活/日常 '天气<应用:墨迹天气>' |2019/12/05
4bffe43d-9e5f-45e3-8ab4-6d61d9acd1ce,2019-12-05T06:40:00+08:00,2019-12-05T06:41:00+08:00,#公司(乐视)/管理 '考勤' |2019/12/04
6288c59e-5b9a-40dd-b979-587c33415c22,2019-12-05T06:43:00+08:00,2019-12-05T06:48:00+08:00,#日常/办公 '邮件' |2019/12/05
fa489522-ac6c-4eaf-9230-0291b51f94be,2019-12-05T09:11:00+08:00,2019-12-05T09:15:00+08:00,#生命/健康/疾病 '感冒'@刘显珂 |2019/12/05
c6119879-4f38-456d-88ee-ffc66b7e2a8d,2019-12-05T09:29:50+08:00,2019-12-05T10:57:32+08:00,#公司(乐融)/管理 '搬家·换工位'
bdea6e44-142e-4530-ad45-1fa28a790c5b,2019-12-05T11:16:00+08:00,2019-12-05T11:36:00+08:00,#公司(乐融)/管理 '搬家·换工位'
7894c2dc-1acb-431a-9116-a26fff181b1f,2019-12-05T13:08:54+08:00,2019-12-05T13:35:48+08:00,#公司(乐融)/管理 '搬家·换工位'
7e9dc176-0027-4c46-9d06-58343837e928,2019-12-05T13:50:00+08:00,2019-12-05T13:56:00+08:00,#人文/语言(英语) '单词<应用:知米背单词>' |2019/12/05
a82c825f-7d7a-49d6-8751-719e7388c0c2,2019-12-05T14:00:00+08:00,2019-12-05T14:17:00+08:00,#人文/语言(英语) '单词<应用:扇贝单词>' |2019/12/05
a5e77e8d-78b1-4770-b00f-39a3c34f6afc,2019-12-05T14:48:00+08:00,2019-12-05T15:03:00+08:00,#时间管理 '日·记录' |2019/12/03
8f32272a-0238-483f-bd54-8c1424c3e94e,2019-12-05T15:08:45+08:00,2019-12-05T15:34:36+08:00,#时间管理/工具 'Pomotodo·CSV'
af774f7a-155c-4ae8-a039-9b1c88612781,2019-12-05T15:42:32+08:00,2019-12-05T16:09:25+08:00,#时间管理/工具 'Pomotodo·CSV'
a9a5f978-48de-4258-99be-ba71231a19d9,2019-12-05T16:16:16+08:00,2019-12-05T16:45:15+08:00,#生命/健康 '锻炼·散步' |2019/12/05
ff3cc82c-eda4-41c5-bbce-27977689534b,2019-12-05T16:50:00+08:00,2019-12-05T17:05:00+08:00,#时间管理/工具 'Pomotodo·CSV'
6edb246a-4d24-4c58-b5e2-c7aa670876bc,2019-12-05T17:27:00+08:00,2019-12-05T18:07:00+08:00,#SW/App 'Samba·共享'
7cf13946-0476-4a18-af7e-d22764bd2d2b,2019-12-05T19:30:00+08:00,2019-12-05T20:00:00+08:00,#硬件 '硬盘·排错'
2053bdce-bec1-4393-b4a2-762f17641a64,2019-12-05T20:05:00+08:00,2019-12-05T20:45:00+08:00,#SW/App 'DiskGenius·修复'
